Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,587430,313869,105720,261458,100256,52910,49043,1678544,8392702,180419,42762,922687,93931,604333,68490,1695037,433854,4026142,63658,3594784,1180662
500,532121,354353,130044,87414,94925,2652107,74131,11575046,255150,196718,41497,2372253,90860,1746432,51828,4996934,264437,14409483,58354,10686647,3487576
750,565763,429151,159115,92474,93938,66661,49454,8344253,260776,183057,46473,5711807,88415,2838347,61106,8277258,279161,22039913,80989,18003426,7048373
1000,616877,396634,166637,87629,267889,68807,47336,12001350,248575,186504,46439,8112103,87633,3999884,72265,18246072,75373,26928032,54758,25765534,8946707
1250,616817,421800,161262,90154,103229,76533,47753,15003215,285832,198687,46748,6818409,99192,5154611,64807,15630224,416547,39424265,83213,32088720,11532507
1500,629988,438915,146252,100768,96971,79760,47496,18404734,248992,194138,46418,14221105,87857,6199629,73231,19571935,80311,39411081,49980,38915764,16319810
1750,584060,433963,147029,90171,139511,65431,47286,21842602,272727,209191,46552,10972059,84734,7377992,63736,21548892,71355,44195249,65382,46254268,15249997
2000,599823,593182,156204,87024,97864,67865,47707,26797533,248194,243207,46484,11352246,90146,8781798,70840,24831508,72643,55073822,86308,52969149,17144787
2250,3082755,589145,156030,86934,94836,112957,46597,28833028,265521,197537,46477,13363920,89187,9666873,66400,28423274,756478,62061723,54523,60406868,19213856
2500,623113,434958,166291,97313,89990,61686,48230,31515986,320355,203241,41166,14568192,87089,10761485,68675,31419028,68555,67606826,58972,67529203,21482158
2750,670831,454553,180410,96439,103355,59869,47454,34688280,254437,203837,36368,16769945,87230,11907468,60798,34664428,68541,74781601,54601,74601669,24003831
3000,821050,505453,170342,87436,113387,68016,50069,38223995,244949,207814,36309,18267354,87644,13076970,64358,39038441,78897,81974886,59931,81655648,26525991
3250,5845457,448941,170386,85890,121019,64167,47999,41382564,256500,203522,36975,20673937,91611,14194010,63868,41348212,71332,89781357,74318,89351125,28221044
3500,659405,471221,170611,96069,91683,62802,59431,44920055,285254,224873,36576,23821110,85725,15485662,122578,44988440,77335,99670747,49500,96091976,30656668
3750,636738,480455,171277,90488,111236,60684,47254,48458654,249916,213170,35710,23824415,86865,16415517,62633,48066831,72745,104129086,44385,103621362,32927779
4000,660255,476463,179819,119833,117532,62353,48230,55072332,317892,217072,36260,24316020,91860,17860374,68338,52810707,85337,142132070,47560,111849855,35385833
4250,826377,468217,195231,132599,94202,89304,47153,54938914,249270,221870,36284,30548846,87686,18725352,59588,55118964,1427297,177879925,71071,116856213,37238565
4500,4211654,482232,250077,107130,104384,55148,48296,58274038,267331,475833,37292,33166889,93198,19849014,64819,58507390,69077,166477825,45348,124520040,40000886
4750,746728,493905,194882,101554,100174,60603,48309,61849864,305299,242920,36342,28098054,100604,21056549,62544,65267273,71621,132417198,74926,131076323,41705716
5000,682498,502164,195396,101578,116211,56690,48746,64928529,334852,284672,36431,28418504,91515,22174503,90018,65190793,85546,144456251,45015,139044792,44218929
5250,646333,613943,194329,213658,118216,76695,48042,68175927,4608077,232790,36371,30152264,88997,23713659,63166,68825135,77566,148742784,46800,145732345,46343157
5500,661056,551759,194258,105514,101680,56091,55804,71564071,287397,203491,91751,31630330,89340,24344638,71774,71838334,74820,157084673,54234,152535036,48823307
5750,654324,569950,195800,99034,97361,73070,47830,74713120,276335,208028,36286,44137295,1509378,27149754,66881,74810459,71811,163001396,45434,161183975,51587149
6000,2460872,490715,193769,100724,97146,3402603,49126,78078521,287446,203018,36355,44185731,94938,27184591,79412,78929904,69114,177985849,62499,167637253,56687414
6250,691178,505915,188669,98368,105187,56749,47400,85648995,277445,205591,38336,37200153,107951,30778623,79220,81822379,77080,177334453,45921,212423984,54975234
6500,735459,499027,191224,104040,94167,54031,47393,86004058,269278,213511,49176,41521535,127177,36035783,67919,84824640,72588,186816832,221711,237695597,57602620
6750,688328,491369,203582,106034,116578,65191,47273,90820393,1214549,213677,46820,48091767,94192,35217870,69604,130812831,74896,191844619,45054,251834037,67902215
7000,655729,494335,179614,101174,94193,55107,48601,93208200,601558,207139,46907,41016215,88853,31178413,65335,97418156,72080,197963005,49718,257274321,62216182
7250,5239139,500622,188044,101745,123021,61747,47046,96175407,647278,207970,46664,41916822,114906,33129377,59579,106058388,72179,209700060,49437,237689031,65340893
7500,949264,506700,185926,181387,97470,54495,47063,99409044,329756,223935,46493,46968660,90604,34822881,100550,106658222,81583,212940699,46459,226711461,66596725
7750,1054645,498273,195698,99459,96976,55809,47734,102855471,348123,217552,52580,45439079,90741,35137133,58151,109567040,1568689,221957884,51777,241912387,69285857
8000,712311,563756,182831,96978,94207,65676,48218,108353695,298384,219168,46615,47627793,103101,36343997,57636,161045637,79082,231514610,48380,253943696,71957098
8250,690717,531975,193348,95303,99580,57319,49806,108249166,302533,218425,46892,48591034,94004,37669828,58849,127562785,2903480,240561415,50184,261000438,77732246
8500,715969,529790,182475,103083,92330,53713,47805,112187170,306679,220299,46908,50091868,90779,38956590,60825,121424206,71776,255643762,47490,245965946,75676335
8750,739582,523971,302320,98303,196969,52939,47227,115901236,300571,250148,46691,54734573,93679,40911382,58101,128947810,70447,254975480,48261,250584851,78127699
9000,685008,570353,184153,92805,95721,54258,47885,118616295,301550,224539,46692,51921822,91403,41847730,62227,201872907,73902,263407625,3945188,306545036,80419702
9250,682255,600415,177864,103185,99344,53625,47426,125866558,292826,236360,47061,70070200,90857,43376596,57624,136236514,82911,269037563,44252,272087799,82796800
9500,684632,517255,218569,95757,95259,53465,46990,125342546,280295,225384,46911,60991674,107182,43800139,57520,135129725,71274,272323030,44544,314725919,85629372
9750,901005,507486,250849,96204,103065,54001,48349,130268260,299935,234587,47330,68302494,102464,45768189,61567,142176634,73431,287993932,43817,315653574,87777236
10000,848161,531496,182814,109242,96356,58936,47420,132519675,329402,228006,46683,70560714,95218,47235122,64186,147776842,74273,292321535,46731,348659239,93845789
10250,712893,610886,178610,99245,93012,53730,47655,157690205,295290,247188,46499,67623176,93087,52485094,59082,146438913,77262,346019409,47980,319687025,92505058
10500,720317,529984,256736,101648,92035,55620,48051,146943966,943598,341372,37404,61811598,90535,48835506,57991,157375975,72646,359513627,46831,313145573,94661673
10750,792195,535625,179850,93009,97225,53049,47956,150490043,283109,337304,45772,64786751,102382,49961508,70647,160182376,71223,315942849,46580,314217545,96292079
11000,702594,537845,183462,94252,102166,55192,47246,148622355,308608,358997,36551,66800030,93193,51548190,58988,193479564,75371,323502961,48221,338382642,103643975
11250,688409,551009,182701,116336,88492,84419,76617,158053442,796140,229309,52148,68105248,89561,62639711,60573,181086640,73375,330007840,51369,338440588,108234521
11500,721874,570399,181579,109917,92575,56849,47825,155469027,314031,220582,36359,77157550,102267,60133063,63947,162677514,72021,347161051,48258,364990790,120698156
11750,738053,589834,183574,104449,101786,56291,46956,156727286,338541,220940,36922,90177601,104560,79418354,68592,174935880,76423,350772113,48150,438993136,104768842
12000,702515,685807,201054,111296,92727,59820,48073,168367922,294797,217539,62613,73656959,98505,75038452,68570,159087634,75719,499073830,52402,386032487,107920416
12250,706151,594119,213006,92337,89052,58215,48685,176817420,277108,223563,36586,89269875,92224,57029253,56833,164841665,69107,450839212,38048,363173365,110074283
12500,855531,617747,226033,94973,106525,47524,49935,179309492,350719,259166,36468,114005163,94347,59410054,51016,187886223,70897,387548412,40008,409056455,113193913
12750,848193,570282,233169,92234,124019,46679,47593,190364275,278932,232029,36348,107041425,94357,60613042,52033,180251301,70775,448171052,40312,423880913,119496920
13000,762678,553795,217185,107323,98166,47569,55681,222317564,283357,235849,51668,102381019,104572,63289424,48662,237227148,83548,390393162,37091,530967582,119775589
13250,741873,629253,256504,89478,108945,48245,58235,226446222,266304,235407,36378,99708093,104424,69170474,49655,265963865,71232,411185160,38434,396974505,139583838
13500,712961,595877,225816,88746,120326,47250,54628,181649286,310660,315629,36348,143024694,100746,63165485,49029,210833900,72479,411295853,39264,427337304,120300783
13750,714729,599206,388917,97204,114756,46712,63904,200948787,278987,248315,36423,85039103,100299,64725137,51054,195015395,68459,411492671,37241,474034164,126090781
14000,767457,569273,244906,91402,103904,46610,56484,221906794,275483,301563,36355,118665011,99054,67145787,50337,210113008,73216,422745305,37907,426510583,132046091
14250,693212,572187,253553,88660,103343,47225,68663,201449503,264404,343846,36396,86499282,95888,69504402,51154,209705735,79723,426584419,36694,444307115,129515670
14500,698124,664583,286715,89272,104210,46166,53690,212681143,272452,222984,36446,93915058,100639,80073383,77562,289781161,75074,435280916,46590,461910453,132394294
14750,695670,598230,240467,97951,101401,46315,55227,213768716,272606,233930,39411,91694257,94680,69047972,60110,383593658,73157,447981249,39727,476943745,132642186
15000,833475,612284,236891,86734,101560,47512,56865,210890375,266693,234566,36601,97635119,95545,68440134,50078,280618291,79948,463572804,37362,473925638,137332057
15250,790478,631288,266526,89432,104413,78411,72004,224599140,266272,239234,36293,94940868,108462,70862108,50374,433421570,74966,471502599,37422,494369688,143064753
15500,835244,682299,246804,86412,113759,46445,52718,230162252,261909,256539,36866,95368653,99104,71718517,51738,463319943,75790,470516929,36890,480152321,138836503
15750,726750,725755,233089,88605,98270,46620,55678,224201872,314716,238249,36604,93951510,100676,73459440,61868,407263341,77526,495824831,38031,485335612,140691207
16000,792123,604153,273832,87612,100994,46990,55877,237354572,273770,247886,36519,111242871,93102,73971713,49776,340874841,72301,509002352,37622,509044735,143038399
16250,723347,580440,239746,87176,99853,62963,57463,271007970,438857,246932,37996,139784218,96649,77950565,51018,297067600,73324,500327617,36475,502561937,148442472
16500,710147,641146,262058,135225,100973,46474,55045,234737990,866431,261974,36442,120291314,100399,75596748,51702,481984589,6865557,530563637,36616,520924053,148898575
16750,698145,3544279,249814,88387,104955,47463,58200,397116346,339069,253269,36538,100714220,99617,76818498,52346,312854525,78462,513594636,38830,521618853,156129964
17000,714023,584764,231851,85368,114682,46304,62321,273497601,306717,272328,36272,115361875,93902,77243155,50448,250292728,73563,538444124,37162,536031082,153468169
17250,750354,638333,266563,85478,95662,46516,65066,270433987,329289,266484,50030,103391760,116619,78967034,48523,252883529,70005,545715014,37095,561021808,157638038
17500,711878,600275,245683,87669,102661,55133,55595,277564067,299415,351727,36705,125913638,92767,81930933,48688,303369781,69782,548262374,36639,574223384,161431774
17750,725931,679029,242868,121553,112371,47232,58784,242760970,327506,274091,39132,115704436,105256,81772053,49795,256210425,74618,565938553,37318,561540977,158471424
18000,751403,589332,249564,86771,115408,46776,57597,267985779,284275,3739812,36301,120590802,99159,91861171,49854,282738698,69918,567568236,47611,586414726,165257750
18250,775978,572342,1807018,86352,96698,47132,76681,256231866,306938,257912,36354,129452290,100099,98869059,49989,257406638,72750,571493385,37936,637042987,164326208
18500,724625,1639075,243456,85374,3618856,47720,59463,483587087,289106,234294,36969,174429937,93776,97355942,52808,262114205,78182,663336732,37150,587498564,171761217
18750,727782,580342,360070,87598,107142,49262,108208,283414319,298775,244910,39208,133442150,102265,87772549,50282,256201958,74949,716988080,36227,600604220,179698278
19000,725645,598540,246258,108024,120863,48902,61930,265352641,288613,238277,37051,130696142,96582,91489620,48568,257600701,71224,685401925,37444,611723644,175161263
19250,752201,652139,232157,147319,104739,46868,56829,296148835,343138,246947,39667,195391770,98112,102131366,47959,262956230,71711,619648292,38172,624130565,172529758
19500,722872,577527,279176,91206,116479,47711,55774,285677684,285350,255306,40911,161196100,116099,122458331,49771,266869686,69755,621482964,36989,623317775,175349160
19750,725568,608117,255183,90121,124674,47081,58585,285882903,293929,249676,36738,179792404,103224,114884581,49897,266318945,71926,630729646,36770,635069195,181199987
20000,718571,618499,226005,116741,102895,46658,60485,295243579,284850,569752,36298,136631881,95732,92121237,50577,269807206,72545,645378603,36603,642399864,179131758
20250,706080,644288,317956,143795,107717,47564,57532,287625455,288551,253296,37145,140181111,95887,97803709,49669,279272908,70407,662844611,37727,666161217,182232134
20500,778644,723941,216014,90999,97600,47150,57282,322921442,384762,264139,36493,182638427,101246,114008112,48806,277724635,87387,664948533,37497,660874961,183801237
20750,727617,629132,916029,89792,106832,48282,54801,371287758,1131029,275167,36230,151461680,101339,101804414,48453,278579039,74487,683635830,36456,675020017,189621434
21000,738756,651360,183325,106368,101679,48224,53654,334959330,2622287,269420,37145,166151898,97670,101671127,51868,288353998,77960,699066931,36987,689746128,188732659
21250,717088,1549392,178739,88424,148961,45974,55084,302799400,261989,266275,36294,145953147,104555,104466472,56159,287592478,74162,725722280,36756,683386262,190306631
21500,758880,675628,182559,86933,107070,46276,62810,297241356,243988,278683,36180,149192249,100129,113638473,50861,322385188,68929,703704538,37753,695991739,196763479
21750,728526,663610,183249,98961,105865,47213,55166,296893257,246617,289944,36235,140064570,104376,138451359,52970,304023183,85038,745338393,37334,724703932,195441486
22000,717367,668194,190744,87495,107364,45927,67591,305180003,241461,410614,36314,139074341,101380,131658862,943832,356689099,71895,1031005176,38194,729853219,197210712
22250,774352,2605656,196890,87310,107113,48787,62060,329647644,257250,345453,36483,153478017,105230,114540089,50294,331795445,128117,898286179,36437,742129354,206059920
22500,757179,670052,213931,86469,112331,47318,65102,325020232,244215,426195,36333,148661378,133102,104246717,48826,319171619,74176,744000236,37657,743344169,209068649
22750,721870,604750,220205,86700,109688,46278,55386,320727279,244350,395565,36342,156351473,105890,106011407,48239,461910406,77596,766360214,37267,766575922,212473086
23000,730464,621818,263687,84118,112090,45923,60329,311464715,245555,232716,36336,193397712,102473,109304688,50140,383672761,84376,772951375,39171,764177810,210392475
23250,739854,638975,218484,84566,114765,46831,64277,315683907,252164,239552,36363,149533375,119898,108121285,1524501,370548175,90431,771814241,36779,787563032,208715054
23500,723411,628652,216441,85168,128120,46796,58208,319478317,247831,233573,36351,148201737,112183,123525831,48922,354175784,88925,796275415,38662,773162870,212911362
23750,777184,618132,231820,94923,128463,46861,59875,323362969,246894,245700,36809,156121253,111412,109962821,49783,354268901,76105,801605760,36192,799579544,231833621
24000,727941,647646,244691,131723,114412,47013,64412,353314223,308637,250674,36842,146586036,110760,116035841,49713,336288179,74050,830221630,36737,796912499,219519713
24250,728214,732871,239242,86116,107338,47378,66908,390300265,900884,279235,45751,148389882,111028,131812202,47980,335938579,83779,829898424,37201,809952485,222487785
24500,718652,657535,253720,96773,108767,46804,79328,436821457,531566,255609,36354,154349654,131527,119716510,49655,347307841,74965,824913708,42107,815642259,223616359
24750,1014938,727448,206566,85011,136347,46199,60542,473359250,426223,271091,36365,153737657,105300,144685128,50940,523911499,75427,833503228,53365,809888886,234134940
25000,741138,976672,202667,85499,94919,49685,58240,460810430,292848,273079,36181,152002324,87233,126893001,53270,468562332,76006,840023525,38194,824030628,223669491

